	Site	Species
Common_V1_1	V1	Common triplefin
Common_V1_2	V1	Common triplefin
Common_V1_3	V1	Common triplefin
Common_V1_4	V1	Common triplefin
Common_V1_5	V1	Common triplefin
Common_C_1	Control	Common triplefin
Common_C_2	Control	Common triplefin
Common_C_3	Control	Common triplefin
Common_C_4	Control	Common triplefin
Common_C_5	Control	Common triplefin
Common_V2_1	V2	Common triplefin
Common_V2_2	V2	Common triplefin
Common_V2_3	V2	Common triplefin
Common_V2_4	V2	Common triplefin
Common_V2_5	V2	Common triplefin
