	Site	Species
Yaldwin_V1_1	V1	Yaldwin's triplefin
Yaldwin_V1_2	V1	Yaldwin's triplefin
Yaldwin_V1_3	V1	Yaldwin's triplefin
Yaldwin_V1_4	V1	Yaldwin's triplefin
Yaldwin_V1_5	V1	Yaldwin's triplefin
Yaldwin_C_1	Control	Yaldwin's triplefin
Yaldwin_C_2	Control	Yaldwin's triplefin
Yaldwin_C_3	Control	Yaldwin's triplefin
Yaldwin_C_4	Control	Yaldwin's triplefin
Yaldwin_C_5	Control	Yaldwin's triplefin
Yaldwin_V2_1	V2	Yaldwin's triplefin
Yaldwin_V2_2	V2	Yaldwin's triplefin
Yaldwin_V2_3	V2	Yaldwin's triplefin
Yaldwin_V2_4	V2	Yaldwin's triplefin
Yaldwin_V2_5	V2	Yaldwin's triplefin
