Tags	GO ID	GO Name	GO Category	FDR	P-Value	Gene_num	Nr Reference	Non Annot Test	Non Annot Reference	Species	Type	Cmp
[]	GO:0060024	rhythmic synaptic transmission	BIOLOGICAL_PROCESS	1	1	NA	87	108	22375	blenny	1Circadian rhythm	V1vs.C
[OVER]	GO:0060024	rhythmic synaptic transmission	BIOLOGICAL_PROCESS	0.00217609	4.12E-05	9	78	420	22063	common	1Circadian rhythm	V1vs.C
[]	GO:0060024	rhythmic synaptic transmission	BIOLOGICAL_PROCESS	1	1	NA	87	29	22454	blue-eyed	1Circadian rhythm	V1vs.C
[]	GO:0060024	rhythmic synaptic transmission	BIOLOGICAL_PROCESS	1	1	NA	87	143	22340	Yaldwin	1Circadian rhythm	V1vs.C
[]	GO:0043179	rhythmic excitation	BIOLOGICAL_PROCESS	1	1	NA	26	108	22436	blenny	1Circadian rhythm	V1vs.C
[OVER]	GO:0043179	rhythmic excitation	BIOLOGICAL_PROCESS	0.034460617	0.001381215	4	22	425	22119	common	1Circadian rhythm	V1vs.C
[]	GO:0043179	rhythmic excitation	BIOLOGICAL_PROCESS	1	1	NA	26	29	22515	blue-eyed	1Circadian rhythm	V1vs.C
[]	GO:0043179	rhythmic excitation	BIOLOGICAL_PROCESS	1	1	NA	26	143	22401	Yaldwin	1Circadian rhythm	V1vs.C
[OVER]	GO:0060086	circadian temperature homeostasis	BIOLOGICAL_PROCESS	0.575234895	0.005845504	2	22	106	22440	blenny	1Circadian rhythm	V1vs.C
[]	GO:0060086	circadian temperature homeostasis	BIOLOGICAL_PROCESS	1	0.369226885	1	23	428	22118	common	1Circadian rhythm	V1vs.C
[]	GO:0060086	circadian temperature homeostasis	BIOLOGICAL_PROCESS	1	1	NA	24	29	22517	blue-eyed	1Circadian rhythm	V1vs.C
[OVER]	GO:0060086	circadian temperature homeostasis	BIOLOGICAL_PROCESS	0.004934137	3.67E-07	5	19	138	22408	Yaldwin	1Circadian rhythm	V1vs.C
[OVER]	GO:0032922	circadian regulation of gene expression	BIOLOGICAL_PROCESS	0.928691058	0.027584686	4	234	104	22228	blenny	1Circadian rhythm	V1vs.C
[OVER]	GO:0032922	circadian regulation of gene expression	BIOLOGICAL_PROCESS	0.467741802	0.038953234	9	229	420	21912	common	1Circadian rhythm	V1vs.C
[]	GO:0032922	circadian regulation of gene expression	BIOLOGICAL_PROCESS	1	1	NA	238	29	22303	blue-eyed	1Circadian rhythm	V1vs.C
[OVER]	GO:0032922	circadian regulation of gene expression	BIOLOGICAL_PROCESS	0.005439959	2.95E-06	10	228	133	22199	Yaldwin	1Circadian rhythm	V1vs.C
[]	GO:0008542	visual learning	BIOLOGICAL_PROCESS	1	0.564901147	2	392	106	22070	blenny	2Vision perception	V1vs.C
[OVER]	GO:0008542	visual learning	BIOLOGICAL_PROCESS	0.008064599	2.16E-04	19	375	410	21766	common	2Vision perception	V1vs.C
[]	GO:0008542	visual learning	BIOLOGICAL_PROCESS	1	1	NA	394	29	22147	blue-eyed	2Vision perception	V1vs.C
[]	GO:0008542	visual learning	BIOLOGICAL_PROCESS	1	0.715625666	2	392	141	22035	Yaldwin	2Vision perception	V1vs.C
[OVER]	GO:0150063	visual system development	BIOLOGICAL_PROCESS	0.844160477	0.017177612	21	2691	87	19771	blenny	2Vision perception	V1vs.C
[OVER]	GO:0150063	visual system development	BIOLOGICAL_PROCESS	0.016351923	5.27E-04	75	2637	354	19504	common	2Vision perception	V1vs.C
[]	GO:0150063	visual system development	BIOLOGICAL_PROCESS	1	0.694139349	3	2709	26	19832	blue-eyed	2Vision perception	V1vs.C
[]	GO:0150063	visual system development	BIOLOGICAL_PROCESS	1	0.557400689	17	2695	126	19732	Yaldwin	2Vision perception	V1vs.C
[]	GO:0007632	visual behavior	BIOLOGICAL_PROCESS	1	0.643492371	2	453	106	22009	blenny	2Vision perception	V1vs.C
[OVER]	GO:0007632	visual behavior	BIOLOGICAL_PROCESS	0.032016985	0.001234015	19	436	410	21705	common	2Vision perception	V1vs.C
[]	GO:0007632	visual behavior	BIOLOGICAL_PROCESS	1	1	NA	455	29	22086	blue-eyed	2Vision perception	V1vs.C
[]	GO:0007632	visual behavior	BIOLOGICAL_PROCESS	1	0.786694095	2	453	141	21974	Yaldwin	2Vision perception	V1vs.C
[]	GO:0050908	detection of light stimulus involved in visual perception	BIOLOGICAL_PROCESS	1	0.197366516	2	169	106	22293	blenny	2Vision perception	V1vs.C
[OVER]	GO:0050908	detection of light stimulus involved in visual perception	BIOLOGICAL_PROCESS	0.039887197	0.001656853	10	161	419	21980	common	2Vision perception	V1vs.C
[]	GO:0050908	detection of light stimulus involved in visual perception	BIOLOGICAL_PROCESS	1	1	NA	171	29	22370	blue-eyed	2Vision perception	V1vs.C
[]	GO:0050908	detection of light stimulus involved in visual perception	BIOLOGICAL_PROCESS	1	0.295101565	2	169	141	22258	Yaldwin	2Vision perception	V1vs.C
[OVER]	GO:0009416	response to light stimulus	BIOLOGICAL_PROCESS	1	0.064970966	14	1868	94	20594	blenny	2Vision perception	V1vs.C
[OVER]	GO:0009416	response to light stimulus	BIOLOGICAL_PROCESS	0.006826691	1.75E-04	58	1824	371	20317	common	2Vision perception	V1vs.C
[]	GO:0009416	response to light stimulus	BIOLOGICAL_PROCESS	1	0.219396734	4	1878	25	20663	blue-eyed	2Vision perception	V1vs.C
[OVER]	GO:0009416	response to light stimulus	BIOLOGICAL_PROCESS	1	0.028843974	19	1863	124	20564	Yaldwin	2Vision perception	V1vs.C
[]	GO:0035774	positive regulation of insulin secretion involved in cellular response to glucose stimulus	BIOLOGICAL_PROCESS	1	0.301447044	2	228	106	22234	blenny	3Energy metabolism	V1vs.C
[OVER]	GO:0035774	positive regulation of insulin secretion involved in cellular response to glucose stimulus	BIOLOGICAL_PROCESS	0.015496759	4.89E-04	13	217	416	21924	common	3Energy metabolism	V1vs.C
[]	GO:0035774	positive regulation of insulin secretion involved in cellular response to glucose stimulus	BIOLOGICAL_PROCESS	1	1	NA	230	29	22311	blue-eyed	3Energy metabolism	V1vs.C
[]	GO:0035774	positive regulation of insulin secretion involved in cellular response to glucose stimulus	BIOLOGICAL_PROCESS	1	0.769929854	1	229	142	22198	Yaldwin	3Energy metabolism	V1vs.C
[]	GO:0046627	negative regulation of insulin receptor signaling pathway	BIOLOGICAL_PROCESS	1	0.688711075	1	241	107	22221	blenny	3Energy metabolism	V1vs.C
[OVER]	GO:0046627	negative regulation of insulin receptor signaling pathway	BIOLOGICAL_PROCESS	0.022486354	7.87E-04	13	229	416	21912	common	3Energy metabolism	V1vs.C
[]	GO:0046627	negative regulation of insulin receptor signaling pathway	BIOLOGICAL_PROCESS	1	1	NA	242	29	22299	blue-eyed	3Energy metabolism	V1vs.C
