Tags	GO ID	GO Name	GO Category	FDR	P-Value	Nr Test	Nr Reference	Non Annot Test	Non Annot Reference	TestSet Sequences
[OVER]	GO:0005576	extracellular region	CELLULAR_COMPONENT	2.3764168390931345E-7	1.1196582647933235E-11	48	3710	60	18752	OG0047377;OG0086261;OG0073565;OG0073106;OG0030830;OG0088985;OG0017701;OG0083595;OG0012407;OG0010329;OG0015847;OG0056299;OG0073490;OG0040939;OG0009023;OG0066989;OG0006356;OG0031433;OG0039711;OG0085922;OG0090413;OG0040638;OG0022665;OG0046971;OG0046377;OG0068444;OG0015572;OG0086272;OG0027656;OG0084070;OG0022981;OG0089987;OG0070703;OG0086196;OG0049268;OG0087342;OG0017927;OG0087914;OG0060537;OG0053871;OG0005795;OG0089736;OG0090845;OG0090988;OG0002288;OG0010282;OG0003016;OG0004527
[OVER]	GO:0005615	extracellular space	CELLULAR_COMPONENT	2.3764168390931345E-7	1.9242241612090157E-11	35	2063	73	20399	OG0073565;OG0073106;OG0030830;OG0088985;OG0017701;OG0012407;OG0010329;OG0015847;OG0056299;OG0073490;OG0009023;OG0031433;OG0039711;OG0085922;OG0090413;OG0040638;OG0046377;OG0068444;OG0015572;OG0086272;OG0022981;OG0089987;OG0070703;OG0086196;OG0049268;OG0087342;OG0017927;OG0087914;OG0060537;OG0053871;OG0005795;OG0089736;OG0090845;OG0090988;OG0004527
[OVER]	GO:0031012	extracellular matrix	CELLULAR_COMPONENT	0.001958412574384171	3.705533139434452E-7	19	1006	89	21456	OG0068444;OG0015572;OG0086272;OG0073565;OG0022981;OG0089987;OG0030830;OG0088985;OG0070703;OG0049268;OG0017701;OG0012407;OG0010329;OG0087342;OG0040939;OG0090988;OG0002288;OG0010282;OG0040638
[OVER]	GO:0061440	kidney vasculature development	BIOLOGICAL_PROCESS	0.001958412574384171	3.964397923854597E-7	7	89	101	22373	OG0013922;OG0024768;OG0090988;OG0068380;OG0010282;OG0084749;OG0087342
[OVER]	GO:0061437	renal system vasculature development	BIOLOGICAL_PROCESS	0.001958412574384171	3.964397923854597E-7	7	89	101	22373	OG0013922;OG0024768;OG0090988;OG0068380;OG0010282;OG0084749;OG0087342
[OVER]	GO:0030312	external encapsulating structure	CELLULAR_COMPONENT	0.013686308011001689	3.3246092334417055E-6	19	1169	89	21293	OG0068444;OG0015572;OG0086272;OG0073565;OG0022981;OG0089987;OG0030830;OG0088985;OG0070703;OG0049268;OG0017701;OG0012407;OG0010329;OG0087342;OG0040939;OG0090988;OG0002288;OG0010282;OG0040638
[OVER]	GO:0072012	glomerulus vasculature development	BIOLOGICAL_PROCESS	0.01654723353213812	4.689499381577605E-6	6	84	102	22378	OG0013922;OG0024768;OG0010282;OG0084749;OG0090988;OG0087342
[OVER]	GO:0060191	regulation of lipase activity	BIOLOGICAL_PROCESS	0.018443423918469985	5.973578597075299E-6	10	333	98	22129	OG0013922;OG0026118;OG0047377;OG0090988;OG0073302;OG0073106;OG0070040;OG0031955;OG0017701;OG0048185
[OVER]	GO:0060249	anatomical structure homeostasis	BIOLOGICAL_PROCESS	0.05442057263232369	2.009399565047642E-5	16	978	92	21484	OG0030830;OG0070703;OG0017701;OG0087342;OG0048185;OG0013922;OG0056299;OG0087914;OG0057333;OG0090988;OG0085219;OG0005134;OG0070040;OG0010282;OG0084749;OG0040638
[OVER]	GO:0062023	collagen-containing extracellular matrix	CELLULAR_COMPONENT	0.05442057263232369	2.203262049891647E-5	13	666	95	21796	OG0015572;OG0022981;OG0089987;OG0030830;OG0088985;OG0070703;OG0049268;OG0017701;OG0010329;OG0087342;OG0040939;OG0090988;OG0040638
