Tags	GO ID	GO Name	GO Category	FDR	P-Value	Nr Test	Nr Reference	Non Annot Test	Non Annot Reference	TestSet Sequences
[OVER]	GO:0070161	anchoring junction	CELLULAR_COMPONENT	1.0771857837329084E-12	6.737542483428847E-17	126	3032	303	19109	OG0045673;OG0018696;OG0015864;OG0066410;OG0038749;OG0012876;OG0004211;OG0008377;OG0031552;OG0004216;OG0013285;OG0000498;OG0001587;OG0021734;OG0020646;OG0020365;OG0002937;OG0030986;OG0038509;OG0038759;OG0011775;OG0057652;OG0086706;OG0030113;OG0088329;OG0037385;OG0036178;OG0005258;OG0005413;OG0013272;OG0012061;OG0020755;OG0022539;OG0019126;OG0069548;OG0066799;OG0048045;OG0014995;OG0012207;OG0038527;OG0011126;OG0002494;OG0005124;OG0004275;OG0003584;OG0007300;OG0020868;OG0044913;OG0011080;OG0003606;OG0072645;OG0024423;OG0017574;OG0048854;OG0048051;OG0044250;OG0058521;OG0039229;OG0012166;OG0004265;OG0005876;OG0030090;OG0040966;OG0036471;OG0049713;OG0073305;OG0002903;OG0074357;OG0048224;OG0070557;OG0024497;OG0045512;OG0089579;OG0017965;OG0045473;OG0003161;OG0055682;OG0013920;OG0000171;OG0031471;OG0090714;OG0002232;OG0056018;OG0032289;OG0003724;OG0044399;OG0047789;OG0033815;OG0014203;OG0054857;OG0010119;OG0025174;OG0067374;OG0089736;OG0030157;OG0012300;OG0055557;OG0002587;OG0044669;OG0048507;OG0021646;OG0057331;OG0002625;OG0038273;OG0060617;OG0067288;OG0022694;OG0047950;OG0010986;OG0014827;OG0033314;OG0011566;OG0005045;OG0039653;OG0046739;OG0021759;OG0005726;OG0010191;OG0021117;OG0070423;OG0054757;OG0015876;OG0006760;OG0054484;OG0085357;OG0022833
[OVER]	GO:0005911	cell-cell junction	CELLULAR_COMPONENT	1.0771857837329084E-12	8.722152095003306E-17	113	2563	316	19578	OG0045673;OG0018696;OG0066410;OG0038749;OG0012876;OG0004211;OG0008377;OG0031552;OG0004216;OG0013285;OG0000498;OG0001587;OG0021734;OG0020646;OG0020365;OG0002937;OG0030986;OG0038509;OG0038759;OG0011775;OG0057652;OG0086706;OG0030113;OG0088329;OG0037385;OG0036178;OG0005258;OG0005413;OG0012061;OG0020755;OG0022539;OG0066799;OG0014995;OG0012207;OG0011126;OG0002494;OG0005124;OG0004275;OG0003584;OG0007300;OG0044913;OG0011080;OG0003606;OG0072645;OG0024423;OG0017574;OG0048854;OG0048051;OG0044250;OG0058521;OG0039229;OG0012166;OG0004265;OG0005876;OG0030090;OG0036471;OG0073305;OG0002903;OG0074357;OG0048224;OG0070557;OG0024497;OG0045512;OG0089579;OG0017965;OG0045473;OG0003161;OG0013920;OG0000171;OG0031471;OG0090714;OG0002232;OG0056018;OG0032289;OG0003724;OG0044399;OG0047789;OG0033815;OG0014203;OG0054857;OG0010119;OG0025174;OG0067374;OG0089736;OG0030157;OG0012300;OG0055557;OG0002587;OG0044669;OG0048507;OG0021646;OG0038273;OG0060617;OG0067288;OG0022694;OG0047950;OG0010986;OG0014827;OG0011566;OG0005045;OG0039653;OG0046739;OG0021759;OG0005726;OG0010191;OG0021117;OG0070423;OG0054757;OG0015876;OG0006760;OG0054484;OG0085357;OG0022833
[OVER]	GO:0065008	regulation of biological quality	BIOLOGICAL_PROCESS	1.3556245625699483E-12	1.646507565874431E-16	269	9472	160	12669	OG0045673;OG0048946;OG0055917;OG0008136;OG0012876;OG0058510;OG0030861;OG0004211;OG0002152;OG0029996;OG0032124;OG0004216;OG0013285;OG0000651;OG0056572;OG0020365;OG0002937;OG0067215;OG0030986;OG0015455;OG0089269;OG0066368;OG0018968;OG0011775;OG0030074;OG0037703;OG0057652;OG0050100;OG0037385;OG0036178;OG0000520;OG0005413;OG0020479;OG0012061;OG0091452;OG0074330;OG0021445;OG0019126;OG0069548;OG0015444;OG0048045;OG0071826;OG0010547;OG0002494;OG0003584;OG0044913;OG0031294;OG0004559;OG0072120;OG0016884;OG0068328;OG0048854;OG0048051;OG0044493;OG0067471;OG0055807;OG0044250;OG0058521;OG0004541;OG0039229;OG0001275;OG0036511;OG0012166;OG0007256;OG0005876;OG0030090;OG0006844;OG0001037;OG0008349;OG0021789;OG0002008;OG0025903;OG0073305;OG0001659;OG0015143;OG0045512;OG0025980;OG0003161;OG0083104;OG0055682;OG0031471;OG0030268;OG0006794;OG0020727;OG0026949;OG0044419;OG0003724;OG0022105;OG0002619;OG0048238;OG0010119;OG0069275;OG0025174;OG0014723;OG0070728;OG0001093;OG0003151;OG0005333;OG0012300;OG0055557;OG0082945;OG0044669;OG0008602;OG0070054;OG0002625;OG0001515;OG0048247;OG0015124;OG0060494;OG0031920;OG0054806;OG0004590;OG0014827;OG0033314;OG0011566;OG0039653;OG0046739;OG0029735;OG0022327;OG0021117;OG0040517;OG0002855;OG0014023;OG0025272;OG0030845;OG0006760;OG0054484;OG0032116;OG0010461;OG0004342;OG0004103;OG0057193;OG0024699;OG0072896;OG0018696;OG0068955;OG0085175;OG0056603;OG0014533;OG0015864;OG0030336;OG0066410;OG0056970;OG0038749;OG0011820;OG0054550;OG0021738;OG0001587;OG0021734;OG0020646;OG0046810;OG0025770;OG0038509;OG0013317;OG0038759;OG0086706;OG0030113;OG0088329;OG0003079;OG0006223;OG0005134;OG0005258;OG0020755;OG0044400;OG0066799;OG0049892;OG0014995;OG0012207;OG0091708;OG0012337;OG0056994;OG0038527;OG0011126;OG0004398;OG0005124;OG0004275;OG0007300;OG0057040;OG0020868;OG0003606;OG0071553;OG0024423;OG0017574;OG0025872;OG0032428;OG0017579;OG0087104;OG0031100;OG0090988;OG0085838;OG0040966;OG0069928;OG0036471;OG0049713;OG0002903;OG0020214;OG0074357;OG0070557;OG0024497;OG0013919;OG0054868;OG0017965;OG0045473;OG0083985;OG0013920;OG0027082;OG0000171;OG0088514;OG0090714;OG0031872;OG0056018;OG0002237;OG0004415;OG0047789;OG0000714;OG0046457;OG0033815;OG0014203;OG0054857;OG0067374;OG0054187;OG0013116;OG0089736;OG0000282;OG0000283;OG0031642;OG0008200;OG0054621;OG0055710;OG0038278;OG0024916;OG0048507;OG0021646;OG0057331;OG0018361;OG0038273;OG0039241;OG0060617;OG0067288;OG0014676;OG0010986;OG0090939;OG0038606;OG0037635;OG0005045;OG0002212;OG0021759;OG0005726;OG0010191;OG0008559;OG0069576;OG0046357;OG0068124;OG0021875;OG0040010;OG0021874;OG0016961;OG0071997;OG0044852;OG0054757;OG0015876;OG0023131;OG0067153;OG0017936;OG0006001;OG0085357;OG0000387;OG0022833;OG0068919
[OVER]	GO:0007416	synapse assembly	BIOLOGICAL_PROCESS	4.422096556972441E-11	7.161289970805573E-15	76	1447	353	20694	OG0049713;OG0073305;OG0015143;OG0070557;OG0018696;OG0056603;OG0089579;OG0017965;OG0030336;OG0083104;OG0008136;OG0056970;OG0038749;OG0013920;OG0030861;OG0031872;OG0056018;OG0032124;OG0006794;OG0013285;OG0001587;OG0002237;OG0056572;OG0020646;OG0020365;OG0046810;OG0014203;OG0069275;OG0038509;OG0070728;OG0067374;OG0013317;OG0011775;OG0057652;OG0000283;OG0088329;OG0006223;OG0037385;OG0036178;OG0044669;OG0018361;OG0039241;OG0015124;OG0069548;OG0071826;OG0011566;OG0038527;OG0002494;OG0004275;OG0003584;OG0007300;OG0002212;OG0046739;OG0020868;OG0021759;OG0010191;OG0022327;OG0002855;OG0021875;OG0021874;OG0024423;OG0048854;OG0017579;OG0054757;OG0023131;OG0067153;OG0044250;OG0054484;OG0085357;OG0058521;OG0032116;OG0039229;OG0030090;OG0057193;OG0008349;OG0040966
[OVER]	GO:0098742	cell-cell adhesion via plasma-membrane adhesion molecules	BIOLOGICAL_PROCESS	6.776509981855728E-10	1.3717631542218073E-13	53	831	376	21310	OG0073305;OG0070557;OG0024497;OG0045512;OG0018696;OG0089579;OG0017965;OG0056970;OG0038749;OG0013920;OG0004211;OG0008377;OG0056018;OG0001587;OG0020646;OG0046810;OG0014203;OG0054857;OG0010119;OG0025174;OG0038509;OG0067374;OG0011775;OG0030157;OG0037385;OG0044669;OG0012061;OG0020755;OG0069548;OG0010986;OG0014827;OG0033314;OG0011566;OG0038527;OG0002494;OG0007300;OG0046739;OG0044913;OG0005726;OG0010191;OG0072120;OG0072645;OG0048854;OG0054757;OG0015876;OG0082570;OG0067153;OG0054484;OG0085357;OG0039229;OG0005876;OG0030090;OG0008349
[OVER]	GO:0030018	Z disc	CELLULAR_COMPONENT	7.088967658726836E-10	1.7220164353182597E-13	44	594	385	21547	OG0067288;OG0045673;OG0002903;OG0048224;OG0022694;OG0056603;OG0030336;OG0045473;OG0055917;OG0038606;OG0055682;OG0040918;OG0005124;OG0005045;OG0004216;OG0000498;OG0021734;OG0002237;OG0056572;OG0003606;OG0014023;OG0033815;OG0056714;OG0085460;OG0025272;OG0044493;OG0006001;OG0054187;OG0089736;OG0030113;OG0012300;OG0010461;OG0055557;OG0006223;OG0012166;OG0005413;OG0021646;OG0022833;OG0018361;OG0036471;OG0002625;OG0039241;OG0025903;OG0060617
[OVER]	GO:0050808	synapse organization	BIOLOGICAL_PROCESS	1.965523198723349E-9	5.570308660349572E-13	113	2920	316	19221	OG0018696;OG0056603;OG0030336;OG0008136;OG0056970;OG0038749;OG0030861;OG0032124;OG0091722;OG0021738;OG0004216;OG0013285;OG0001587;OG0056572;OG0020646;OG0020365;OG0046810;OG0038509;OG0013317;OG0011775;OG0057652;OG0030113;OG0088329;OG0003079;OG0006223;OG0037385;OG0036178;OG0005258;OG0005413;OG0022539;OG0069548;OG0071826;OG0010547;OG0012337;OG0038527;OG0011126;OG0002494;OG0004275;OG0003584;OG0007300;OG0020868;OG0044913;OG0011080;OG0024423;OG0048854;OG0032428;OG0017579;OG0044250;OG0058521;OG0039229;OG0004265;OG0030090;OG0008349;OG0040966;OG0036471;OG0025903;OG0049713;OG0073305;OG0015143;OG0070557;OG0089579;OG0017965;OG0045473;OG0003161;OG0083104;OG0013920;OG0000171;OG0031471;OG0031872;OG0056018;OG0006794;OG0002237;OG0014203;OG0069275;OG0070728;OG0067374;OG0054187;OG0003151;OG0005333;OG0000283;OG0054621;OG0002587;OG0044669;OG0021646;OG0018361;OG0038273;OG0039241;OG0067288;OG0015124;OG0014827;OG0011566;OG0008155;OG0005045;OG0002212;OG0039653;OG0046739;OG0021759;OG0010191;OG0022327;OG0002855;OG0021875;OG0021874;OG0014023;OG0070423;OG0044852;OG0054757;OG0023131;OG0067153;OG0006760;OG0054484;OG0085357;OG0032116;OG0057193
[OVER]	GO:0034329	cell junction assembly	BIOLOGICAL_PROCESS	2.4044470883459374E-9	7.787682877233805E-13	101	2480	328	19661	OG0018696;OG0056603;OG0030336;OG0014018;OG0008136;OG0056970;OG0038749;OG0030861;OG0032124;OG0013285;OG0001587;OG0021734;OG0056572;OG0020646;OG0020365;OG0046810;OG0030986;OG0038509;OG0013317;OG0011775;OG0057652;OG0030113;OG0088329;OG0006223;OG0037385;OG0036178;OG0000520;OG0005413;OG0069548;OG0071826;OG0038527;OG0011126;OG0002494;OG0004275;OG0003584;OG0007300;OG0020868;OG0038367;OG0003606;OG0024423;OG0048854;OG0017579;OG0048051;OG0044250;OG0058521;OG0039229;OG0012166;OG0030090;OG0008349;OG0040966;OG0036471;OG0049713;OG0073305;OG0015143;OG0070557;OG0089579;OG0017965;OG0045473;OG0083104;OG0055682;OG0013920;OG0002232;OG0031872;OG0056018;OG0006794;OG0002237;OG0003724;OG0033815;OG0014203;OG0069275;OG0070728;OG0067374;OG0000283;OG0012300;OG0044669;OG0021646;OG0057331;OG0018361;OG0039241;OG0067288;OG0015124;OG0014827;OG0011566;OG0008155;OG0005045;OG0002212;OG0046739;OG0021759;OG0010191;OG0008713;OG0022327;OG0002855;OG0021875;OG0021874;OG0054757;OG0023131;OG0067153;OG0054484;OG0085357;OG0032116;OG0057193
[OVER]	GO:0031674	I band	CELLULAR_COMPONENT	2.4765773552984042E-9	9.023966071937505E-13	47	706	382	21435	OG0067288;OG0045673;OG0002903;OG0048224;OG0022694;OG0022154;OG0056603;OG0030336;OG0045473;OG0055917;OG0038606;OG0055682;OG0040918;OG0005124;OG0005045;OG0004216;OG0000498;OG0021734;OG0002237;OG0056572;OG0004559;OG0003606;OG0014023;OG0033815;OG0056714;OG0085460;OG0025272;OG0044493;OG0006001;OG0054187;OG0089736;OG0030113;OG0012300;OG0010461;OG0055557;OG0006223;OG0012166;OG0037385;OG0005413;OG0021646;OG0022833;OG0018361;OG0036471;OG0002625;OG0039241;OG0025903;OG0060617
[OVER]	GO:0034330	cell junction organization	BIOLOGICAL_PROCESS	4.222909216539202E-9	1.709679844752713E-12	135	3853	294	18288	OG0018696;OG0056603;OG0030336;OG0014018;OG0008136;OG0056970;OG0038749;OG0010576;OG0030861;OG0002152;OG0032124;OG0091722;OG0021738;OG0004216;OG0013285;OG0001587;OG0021734;OG0056572;OG0020646;OG0020365;OG0046810;OG0030986;OG0038509;OG0013317;OG0011775;OG0057652;OG0030113;OG0088329;OG0003079;OG0006223;OG0037385;OG0036178;OG0005258;OG0000520;OG0005413;OG0022539;OG0069548;OG0071826;OG0010547;OG0012337;OG0038527;OG0011126;OG0002494;OG0004275;OG0003584;OG0007300;OG0020868;OG0038367;OG0044913;OG0011080;OG0003606;OG0024423;OG0048854;OG0032428;OG0017579;OG0048051;OG0055807;OG0044250;OG0058521;OG0039229;OG0012166;OG0004265;OG0030090;OG0008349;OG0040966;OG0036471;OG0025903;OG0049713;OG0073305;OG0015143;OG0070557;OG0089579;OG0017965;OG0045473;OG0003161;OG0083104;OG0055682;OG0013920;OG0000171;OG0031471;OG0002232;OG0031872;OG0056018;OG0006794;OG0002237;OG0003724;OG0033815;OG0014203;OG0069275;OG0070728;OG0067374;OG0054187;OG0003151;OG0005333;OG0000283;OG0012300;OG0008200;OG0054621;OG0002587;OG0044669;OG0021646;OG0057331;OG0018361;OG0002625;OG0038273;OG0039241;OG0067288;OG0015124;OG0014827;OG0011566;OG0008155;OG0037359;OG0005045;OG0002212;OG0039653;OG0046739;OG0021759;OG0010191;OG0008713;OG0022327;OG0002855;OG0021875;OG0021874;OG0014023;OG0070423;OG0044852;OG0054757;OG0023131;OG0067153;OG0006760;OG0054484;OG0085357;OG0032116;OG0004342;OG0057193
