Tags	GO ID	GO Name	GO Category	FDR	P-Value	Nr Test	Nr Reference	Non Annot Test	Non Annot Reference	TestSet Sequences
[OVER]	GO:0030018	Z disc	CELLULAR_COMPONENT	7.153830277790489E-10	1.7220164353182597E-13	44	594	385	21547	OG0067288;OG0045673;OG0002903;OG0048224;OG0022694;OG0056603;OG0030336;OG0045473;OG0055917;OG0038606;OG0055682;OG0040918;OG0005124;OG0005045;OG0004216;OG0000498;OG0021734;OG0002237;OG0056572;OG0003606;OG0014023;OG0033815;OG0056714;OG0085460;OG0025272;OG0044493;OG0006001;OG0054187;OG0089736;OG0030113;OG0012300;OG0010461;OG0055557;OG0006223;OG0012166;OG0005413;OG0021646;OG0022833;OG0018361;OG0036471;OG0002625;OG0039241;OG0025903;OG0060617
[OVER]	GO:0033633	negative regulation of cell-cell adhesion mediated by integrin	BIOLOGICAL_PROCESS	8.096003144752076E-8	7.154665245833123E-11	9	12	420	22129	OG0038759;OG0004211;OG0024497;OG0045512;OG0005876;OG0005726;OG0048507;OG0010119;OG0010986
[OVER]	GO:0016964	alpha-2 macroglobulin receptor activity	MOLECULAR_FUNCTION	2.267934904540282E-7	2.638614789042292E-10	7	4	422	22137	OG0021875;OG0021874;OG0032116;OG0000283;OG0032124;OG0002212;OG0022327
[OVER]	GO:0097105	presynaptic membrane assembly	BIOLOGICAL_PROCESS	2.3515338298036107E-7	2.8302180411661846E-10	15	79	414	22062	OG0021875;OG0021874;OG0018696;OG0048854;OG0013920;OG0011566;OG0011775;OG0038527;OG0032116;OG0039229;OG0000283;OG0002212;OG0030090;OG0001587;OG0022327
[OVER]	GO:0010881	regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion	BIOLOGICAL_PROCESS	4.938449181527117E-7	6.583427572079731E-10	18	133	411	22008	OG0056603;OG0030336;OG0025272;OG0045473;OG0066410;OG0044493;OG0055917;OG0033225;OG0010461;OG0006223;OG0005045;OG0000520;OG0005413;OG0002237;OG0018361;OG0036471;OG0056572;OG0039241
[OVER]	GO:1904300	positive regulation of transcytosis	BIOLOGICAL_PROCESS	8.943604915900348E-7	1.3275831737475444E-9	7	6	422	22135	OG0021875;OG0021874;OG0032116;OG0000283;OG0032124;OG0002212;OG0022327
[OVER]	GO:0030506	ankyrin binding	MOLECULAR_FUNCTION	9.155435555790887E-7	1.4324881115134582E-9	20	178	409	21963	OG0003606;OG0045673;OG0002903;OG0033815;OG0056603;OG0017965;OG0030336;OG0038509;OG0055682;OG0005124;OG0012300;OG0055557;OG0006223;OG0012166;OG0056018;OG0007300;OG0021646;OG0021734;OG0022833;OG0060617
[OVER]	GO:0098978	glutamatergic synapse	CELLULAR_COMPONENT	1.1031682494005898E-6	1.9473402460734155E-9	86	2269	343	19872	OG0049713;OG0045673;OG0002903;OG0074357;OG0070557;OG0018696;OG0056603;OG0017965;OG0030336;OG0003161;OG0008136;OG0056970;OG0038749;OG0013920;OG0090714;OG0056018;OG0006794;OG0001587;OG0002237;OG0004415;OG0056572;OG0037053;OG0003724;OG0020365;OG0044399;OG0002937;OG0067215;OG0046810;OG0068349;OG0014203;OG0038509;OG0070728;OG0054187;OG0011775;OG0003151;OG0057652;OG0005333;OG0030113;OG0088329;OG0055557;OG0054621;OG0006223;OG0055710;OG0037385;OG0036178;OG0024916;OG0044669;OG0057331;OG0018361;OG0022539;OG0039241;OG0060617;OG0015124;OG0069548;OG0066799;OG0071826;OG0014995;OG0037635;OG0014827;OG0011566;OG0038527;OG0002494;OG0004275;OG0003584;OG0007300;OG0046739;OG0020868;OG0021759;OG0044913;OG0040517;OG0017574;OG0014023;OG0070423;OG0048854;OG0032428;OG0054757;OG0067471;OG0054484;OG0085357;OG0058521;OG0039229;OG0030090;OG0057193;OG0008349;OG0040966;OG0025903
[OVER]	GO:0009986	cell surface	CELLULAR_COMPONENT	1.2240376583711227E-6	2.209808819172772E-9	85	2237	344	19904	OG0049713;OG0045673;OG0002903;OG0018696;OG0056603;OG0014533;OG0054868;OG0017965;OG0030336;OG0045473;OG0066410;OG0056970;OG0055682;OG0013920;OG0056018;OG0032124;OG0004216;OG0001587;OG0021734;OG0002237;OG0026949;OG0056572;OG0037053;OG0046810;OG0068349;OG0038509;OG0070728;OG0054187;OG0011775;OG0089736;OG0000283;OG0012300;OG0055557;OG0006223;OG0037385;OG0005698;OG0005413;OG0020479;OG0012061;OG0057331;OG0018361;OG0039241;OG0074330;OG0060617;OG0015124;OG0069548;OG0066799;OG0071826;OG0014995;OG0038606;OG0012337;OG0037635;OG0014827;OG0011566;OG0038527;OG0005045;OG0007300;OG0002212;OG0020868;OG0003426;OG0010191;OG0008713;OG0022327;OG0058098;OG0072120;OG0003606;OG0021875;OG0021874;OG0024423;OG0071997;OG0048854;OG0044852;OG0037959;OG0067153;OG0044250;OG0006001;OG0085357;OG0032116;OG0001275;OG0012166;OG0030090;OG0085838;OG0057193;OG0022833;OG0036471
[OVER]	GO:0007157	heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules	BIOLOGICAL_PROCESS	1.3092683011591319E-6	2.416205642835596E-9	20	184	409	21957	OG0018696;OG0048854;OG0014203;OG0054757;OG0017965;OG0038509;OG0038749;OG0054484;OG0013920;OG0033314;OG0011566;OG0011775;OG0038527;OG0002494;OG0039229;OG0056018;OG0007300;OG0030090;OG0001587;OG0044669
