Tags	GO ID	GO Name	GO Category	FDR	P-Value	Nr Test	Nr Reference	Non Annot Test	Non Annot Reference	TestSet Sequences
[OVER]	GO:0060086	circadian temperature homeostasis	BIOLOGICAL_PROCESS	0.004934136664738705	3.6713985812698666E-7	5	19	138	22408	OG0047525;OG0033303;OG0040325;OG0086787;OG0039483
[OVER]	GO:0035914	skeletal muscle cell differentiation	BIOLOGICAL_PROCESS	0.004934136664738705	4.752360789692223E-7	12	287	131	22140	OG0047525;OG0033303;OG0086787;OG0069027;OG0007248;OG0005862;OG0049420;OG0040325;OG0014676;OG0085246;OG0008559;OG0040935
[OVER]	GO:0001046	core promoter sequence-specific DNA binding	MOLECULAR_FUNCTION	0.004934136664738705	1.2349208396613512E-6	10	206	133	22221	OG0047525;OG0033303;OG0086787;OG0069027;OG0088558;OG0007248;OG0005862;OG0049420;OG0085246;OG0025293
[OVER]	GO:0048897	myelination of lateral line nerve axons	BIOLOGICAL_PROCESS	0.004934136664738705	1.9976261800561556E-6	4	11	139	22416	OG0040565;OG0047525;OG0033303;OG0086787
[OVER]	GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	MOLECULAR_FUNCTION	0.004934136664738705	1.8210787492335817E-6	26	1450	117	20977	OG0049814;OG0069027;OG0044148;OG0014676;OG0087970;OG0056994;OG0007248;OG0005862;OG0044813;OG0007403;OG0038484;OG0008559;OG0040935;OG0047525;OG0040872;OG0049420;OG0085246;OG0027592;OG0025293;OG0033303;OG0086787;OG0032113;OG0030651;OG0040325;OG0039168;OG0039483
[OVER]	GO:0048938	lateral line nerve glial cell morphogenesis involved in differentiation	BIOLOGICAL_PROCESS	0.004934136664738705	1.9976261800561556E-6	4	11	139	22416	OG0040565;OG0047525;OG0033303;OG0086787
[OVER]	GO:0048932	myelination of posterior lateral line nerve axons	BIOLOGICAL_PROCESS	0.004934136664738705	1.9976261800561556E-6	4	11	139	22416	OG0040565;OG0047525;OG0033303;OG0086787
[OVER]	GO:0048931	posterior lateral line nerve glial cell differentiation	BIOLOGICAL_PROCESS	0.004934136664738705	1.9976261800561556E-6	4	11	139	22416	OG0040565;OG0047525;OG0033303;OG0086787
[OVER]	GO:0048942	posterior lateral line nerve glial cell morphogenesis involved in differentiation	BIOLOGICAL_PROCESS	0.004934136664738705	1.9976261800561556E-6	4	11	139	22416	OG0040565;OG0047525;OG0033303;OG0086787
[OVER]	GO:0048941	posterior lateral line nerve glial cell development	BIOLOGICAL_PROCESS	0.004934136664738705	1.9976261800561556E-6	4	11	139	22416	OG0040565;OG0047525;OG0033303;OG0086787
[OVER]	GO:0032922	circadian regulation of gene expression	BIOLOGICAL_PROCESS	0.005439959146270487	2.9527876325365686E-6	10	228	133	22199	OG0047525;OG0033303;OG0086787;OG0032113;OG0013919;OG0040325;OG0007403;OG0038484;OG0039483;OG0087970
[OVER]	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	MOLECULAR_FUNCTION	0.005439959146270487	3.469651783890749E-6	20	953	123	21474	OG0047525;OG0049814;OG0069027;OG0040872;OG0044148;OG0049420;OG0014676;OG0085246;OG0025293;OG0033303;OG0056994;OG0086787;OG0007248;OG0005862;OG0030651;OG0044813;OG0040325;OG0039168;OG0008559;OG0040935
[OVER]	GO:0048895	lateral line nerve glial cell differentiation	BIOLOGICAL_PROCESS	0.005439959146270487	2.6504011069426546E-6	4	12	139	22415	OG0040565;OG0047525;OG0033303;OG0086787
[OVER]	GO:0000987	cis-regulatory region sequence-specific DNA binding	MOLECULAR_FUNCTION	0.005439959146270487	3.1203499900919123E-6	26	1494	117	20933	OG0049814;OG0069027;OG0044148;OG0014676;OG0087970;OG0056994;OG0007248;OG0005862;OG0044813;OG0007403;OG0038484;OG0008559;OG0040935;OG0047525;OG0040872;OG0049420;OG0085246;OG0027592;OG0025293;OG0033303;OG0086787;OG0032113;OG0030651;OG0040325;OG0039168;OG0039483
[OVER]	GO:0048937	lateral line nerve glial cell development	BIOLOGICAL_PROCESS	0.005439959146270487	2.6504011069426546E-6	4	12	139	22415	OG0040565;OG0047525;OG0033303;OG0086787
[OVER]	GO:0061743	motor learning	BIOLOGICAL_PROCESS	0.005439959146270487	3.523860175721773E-6	5	32	138	22395	OG0002676;OG0057652;OG0058521;OG0088329;OG0003584
[OVER]	GO:0001216	DNA-binding transcription activator activity	MOLECULAR_FUNCTION	0.0062422647319971694	4.296295564532465E-6	20	967	123	21460	OG0047525;OG0049814;OG0069027;OG0040872;OG0044148;OG0049420;OG0014676;OG0085246;OG0025293;OG0033303;OG0056994;OG0086787;OG0007248;OG0005862;OG0030651;OG0044813;OG0040325;OG0039168;OG0008559;OG0040935
[OVER]	GO:0035976	transcription factor AP-1 complex	CELLULAR_COMPONENT	0.007631793273344308	5.561630725514071E-6	4	15	139	22412	OG0069027;OG0007248;OG0085246;OG0040935
[OVER]	GO:0048918	posterior lateral line nerve development	BIOLOGICAL_PROCESS	0.008993228891171788	6.917868377824453E-6	4	16	139	22411	OG0040565;OG0047525;OG0033303;OG0086787
[OVER]	GO:0000979	RNA polymerase II core promoter sequence-specific DNA binding	MOLECULAR_FUNCTION	0.01579090087264343	1.2786154552747717E-5	6	75	137	22352	OG0047525;OG0033303;OG0086787;OG0069027;OG0007248;OG0085246
[OVER]	GO:0021595	rhombomere structural organization	BIOLOGICAL_PROCESS	0.016026947598506047	1.3626149780106356E-5	3	5	140	22422	OG0047525;OG0033303;OG0086787
[OVER]	GO:0000977	RNA polymerase II transcription regulatory region sequence-specific DNA binding	MOLECULAR_FUNCTION	0.017193513436936366	1.531406055111741E-5	26	1636	117	20791	OG0049814;OG0069027;OG0044148;OG0014676;OG0087970;OG0056994;OG0007248;OG0005862;OG0044813;OG0007403;OG0038484;OG0008559;OG0040935;OG0047525;OG0040872;OG0049420;OG0085246;OG0027592;OG0025293;OG0033303;OG0086787;OG0032113;OG0030651;OG0040325;OG0039168;OG0039483
[OVER]	GO:1902895	positive regulation of miRNA transcription	BIOLOGICAL_PROCESS	0.02302443687450693	2.156782163377399E-5	8	174	135	22253	OG0047525;OG0033303;OG0086787;OG0069027;OG0007248;OG0085246;OG0039483;OG0040935
[OVER]	GO:0019216	regulation of lipid metabolic process	BIOLOGICAL_PROCESS	0.02302443687450693	2.2371922469156532E-5	22	1274	121	21153	OG0047525;OG0049566;OG0016972;OG0045720;OG0049881;OG0023020;OG0049420;OG0026683;OG0030302;OG0088425;OG0012604;OG0025293;OG0084941;OG0033303;OG0086787;OG0055860;OG0005862;OG0059130;OG0012000;OG0002236;OG0040325;OG0039483
[OVER]	GO:0043542	endothelial cell migration	BIOLOGICAL_PROCESS	0.024751641620281758	2.906063186186927E-5	18	923	125	21504	OG0047525;OG0041124;OG0010926;OG0049420;OG0025293;OG0084941;OG0033303;OG0086787;OG0057652;OG0058521;OG0005862;OG0088329;OG0003584;OG0021528;OG0002676;OG0041119;OG0069928;OG0039483
[OVER]	GO:0002042	cell migration involved in sprouting angiogenesis	BIOLOGICAL_PROCESS	0.024751641620281758	2.5552232218644943E-5	9	234	134	22193	OG0047525;OG0033303;OG0086787;OG0005862;OG0010926;OG0049420;OG0021528;OG0041119;OG0069928
[OVER]	GO:0072301	regulation of metanephric glomerular mesangial cell proliferation	BIOLOGICAL_PROCESS	0.024751641620281758	2.8928222785871235E-5	3	7	140	22420	OG0047525;OG0033303;OG0086787
[OVER]	GO:0072303	positive regulation of glomerular metanephric mesangial cell proliferation	BIOLOGICAL_PROCESS	0.024751641620281758	2.8928222785871235E-5	3	7	140	22420	OG0047525;OG0033303;OG0086787
[OVER]	GO:0048892	lateral line nerve development	BIOLOGICAL_PROCESS	0.024751641620281758	2.8105864226034963E-5	4	24	139	22403	OG0040565;OG0047525;OG0033303;OG0086787
[OVER]	GO:1990837	sequence-specific double-stranded DNA binding	MOLECULAR_FUNCTION	0.02842768869511483	3.452755711957267E-5	29	2036	114	20391	OG0049814;OG0069027;OG0044148;OG0014676;OG0087970;OG0056994;OG0088558;OG0007248;OG0005862;OG0044813;OG0007403;OG0038484;OG0008559;OG0040935;OG0047525;OG0040872;OG0049420;OG0085246;OG0027592;OG0083483;OG0025293;OG0002063;OG0033303;OG0086787;OG0032113;OG0030651;OG0040325;OG0039168;OG0039483
[OVER]	GO:0047323	[3-methyl-2-oxobutanoate dehydrogenase (acetyl-transferring)] kinase activity	MOLECULAR_FUNCTION	0.02983757472174134	3.98639662274277E-5	2	0	141	22427	OG0049881;OG0030302
[OVER]	GO:0021664	rhombomere 5 morphogenesis	BIOLOGICAL_PROCESS	0.02983757472174134	3.959159399966417E-5	3	8	140	22419	OG0047525;OG0033303;OG0086787
[OVER]	GO:0009927	histidine phosphotransfer kinase activity	MOLECULAR_FUNCTION	0.02983757472174134	3.98639662274277E-5	2	0	141	22427	OG0049881;OG0030302
[OVER]	GO:0006910	phagocytosis, recognition	BIOLOGICAL_PROCESS	0.03004162433097945	4.256910330300732E-5	5	56	138	22371	OG0002676;OG0057652;OG0058521;OG0088329;OG0003584
[OVER]	GO:0001530	lipopolysaccharide binding	MOLECULAR_FUNCTION	0.03004162433097945	4.256910330300732E-5	5	56	138	22371	OG0002676;OG0057652;OG0058521;OG0088329;OG0003584
[OVER]	GO:0003690	double-stranded DNA binding	MOLECULAR_FUNCTION	0.031234568696092795	4.5675219862032543E-5	30	2178	113	20249	OG0049814;OG0069027;OG0044148;OG0014676;OG0087970;OG0056994;OG0088558;OG0007248;OG0005862;OG0044813;OG0007403;OG0038484;OG0008559;OG0040935;OG0047525;OG0040872;OG0049420;OG0085246;OG0027592;OG0083483;OG0025293;OG0002063;OG0033303;OG0086787;OG0057611;OG0032113;OG0030651;OG0040325;OG0039168;OG0039483
[OVER]	GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	MOLECULAR_FUNCTION	0.031234568696092795	4.678862517228475E-5	22	1339	121	21088	OG0047525;OG0049814;OG0069027;OG0040872;OG0044148;OG0049420;OG0014676;OG0085246;OG0025293;OG0033303;OG0056994;OG0086787;OG0007248;OG0005862;OG0030651;OG0044813;OG0040325;OG0039168;OG0007403;OG0008559;OG0039483;OG0040935
[OVER]	GO:0098759	cellular response to interleukin-8	BIOLOGICAL_PROCESS	0.032445747761481444	5.254372107122501E-5	3	9	140	22418	OG0047525;OG0033303;OG0086787
[OVER]	GO:0098758	response to interleukin-8	BIOLOGICAL_PROCESS	0.032445747761481444	5.254372107122501E-5	3	9	140	22418	OG0047525;OG0033303;OG0086787
