Tags	GO ID	GO Name	GO Category	FDR	P-Value	Nr Test	Nr Reference	Non Annot Test	Non Annot Reference	TestSet Sequences
[OVER]	GO:0035914	skeletal muscle cell differentiation	BIOLOGICAL_PROCESS	0.004979283016407973	4.752360789692223E-7	12	287	131	22140	OG0047525;OG0033303;OG0086787;OG0069027;OG0007248;OG0005862;OG0049420;OG0040325;OG0014676;OG0085246;OG0008559;OG0040935
[OVER]	GO:0060086	circadian temperature homeostasis	BIOLOGICAL_PROCESS	0.004979283016407973	3.6713985812698666E-7	5	19	138	22408	OG0047525;OG0033303;OG0040325;OG0086787;OG0039483
[OVER]	GO:0048932	myelination of posterior lateral line nerve axons	BIOLOGICAL_PROCESS	0.004979283016407973	1.9976261800561556E-6	4	11	139	22416	OG0040565;OG0047525;OG0033303;OG0086787
[OVER]	GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	MOLECULAR_FUNCTION	0.004979283016407973	1.8210787492335817E-6	26	1450	117	20977	OG0049814;OG0069027;OG0044148;OG0014676;OG0087970;OG0056994;OG0007248;OG0005862;OG0044813;OG0007403;OG0038484;OG0008559;OG0040935;OG0047525;OG0040872;OG0049420;OG0085246;OG0027592;OG0025293;OG0033303;OG0086787;OG0032113;OG0030651;OG0040325;OG0039168;OG0039483
[OVER]	GO:0032922	circadian regulation of gene expression	BIOLOGICAL_PROCESS	0.005489733671252557	2.9527876325365686E-6	10	228	133	22199	OG0047525;OG0033303;OG0086787;OG0032113;OG0013919;OG0040325;OG0007403;OG0038484;OG0039483;OG0087970
[OVER]	GO:0061743	motor learning	BIOLOGICAL_PROCESS	0.005489733671252557	3.523860175721773E-6	5	32	138	22395	OG0002676;OG0057652;OG0058521;OG0088329;OG0003584
[OVER]	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	MOLECULAR_FUNCTION	0.005489733671252557	3.469651783890749E-6	20	953	123	21474	OG0047525;OG0049814;OG0069027;OG0040872;OG0044148;OG0049420;OG0014676;OG0085246;OG0025293;OG0033303;OG0056994;OG0086787;OG0007248;OG0005862;OG0030651;OG0044813;OG0040325;OG0039168;OG0008559;OG0040935
[OVER]	GO:0035976	transcription factor AP-1 complex	CELLULAR_COMPONENT	0.007701622636897986	5.561630725514071E-6	4	15	139	22412	OG0069027;OG0007248;OG0085246;OG0040935
[OVER]	GO:0000979	RNA polymerase II core promoter sequence-specific DNA binding	MOLECULAR_FUNCTION	0.01593538441908948	1.2786154552747717E-5	6	75	137	22352	OG0047525;OG0033303;OG0086787;OG0069027;OG0007248;OG0085246
[OVER]	GO:0021595	rhombomere structural organization	BIOLOGICAL_PROCESS	0.016173590924711	1.3626149780106356E-5	3	5	140	22422	OG0047525;OG0033303;OG0086787
