Tags	GO ID	GO Name	GO Category	FDR	P-Value	Nr Test	Nr Reference	Non Annot Test	Non Annot Reference	TestSet Sequences
[OVER]	GO:0004879	nuclear receptor activity	MOLECULAR_FUNCTION	0.05955351227079262	4.822146742574301E-6	6	105	82	22377	OG0040325;OG0036694;OG0037959;OG0090668;OG0046175;OG0039483
[OVER]	GO:0098531	ligand-activated transcription factor activity	MOLECULAR_FUNCTION	0.05955351227079262	4.822146742574301E-6	6	105	82	22377	OG0040325;OG0036694;OG0037959;OG0090668;OG0046175;OG0039483
[OVER]	GO:0061889	negative regulation of astrocyte activation	BIOLOGICAL_PROCESS	0.0758529763819975	1.2283882814898381E-5	3	9	85	22473	OG0040325;OG0020723;OG0039483
[OVER]	GO:0046068	cGMP metabolic process	BIOLOGICAL_PROCESS	0.0758529763819975	1.0470373415582136E-5	5	69	83	22413	OG0040325;OG0003404;OG0037959;OG0087906;OG0090668
[OVER]	GO:0006809	nitric oxide biosynthetic process	BIOLOGICAL_PROCESS	0.07895138106773676	1.917847313386318E-5	8	285	80	22197	OG0056123;OG0004829;OG0090668;OG0045765;OG0040325;OG0008362;OG0037959;OG0004803
[OVER]	GO:0043030	regulation of macrophage activation	BIOLOGICAL_PROCESS	0.07895138106773676	1.6825088003098504E-5	6	132	82	22350	OG0045574;OG0040325;OG0037959;OG0090668;OG0020723;OG0039483
[OVER]	GO:0030522	intracellular receptor signaling pathway	BIOLOGICAL_PROCESS	0.08484946051152972	2.8939290629047973E-5	15	1115	73	21367	OG0048854;OG0007082;OG0037959;OG0026581;OG0046175;OG0056376;OG0005680;OG0090668;OG0090378;OG0040325;OG0036694;OG0038296;OG0003656;OG0000511;OG0039483
[OVER]	GO:0061888	regulation of astrocyte activation	BIOLOGICAL_PROCESS	0.08484946051152972	3.0916807473836744E-5	3	13	85	22469	OG0040325;OG0020723;OG0039483
[OVER]	GO:0046209	nitric oxide metabolic process	BIOLOGICAL_PROCESS	0.08484946051152972	2.8694549194196606E-5	8	302	80	22180	OG0056123;OG0004829;OG0090668;OG0045765;OG0040325;OG0008362;OG0037959;OG0004803
[OVER]	GO:2001057	reactive nitrogen species metabolic process	BIOLOGICAL_PROCESS	0.0849312770291253	3.4385132400455586E-5	8	310	80	22172	OG0056123;OG0004829;OG0090668;OG0045765;OG0040325;OG0008362;OG0037959;OG0004803
[OVER]	GO:0042116	macrophage activation	BIOLOGICAL_PROCESS	0.16384825441217235	7.29688582402387E-5	7	254	81	22228	OG0056123;OG0045574;OG0090668;OG0040325;OG0037959;OG0020723;OG0039483
[OVER]	GO:0009150	purine ribonucleotide metabolic process	BIOLOGICAL_PROCESS	0.2008859317940042	9.759640411044738E-5	12	826	76	21656	OG0002957;OG0039638;OG0090668;OG0046607;OG0040325;OG0060573;OG0008362;OG0027396;OG0003404;OG0037959;OG0087906;OG0046175
[OVER]	GO:0008142	oxysterol binding	MOLECULAR_FUNCTION	0.21841136256002644	1.2379591400163442E-4	3	22	85	22460	OG0037959;OG0090668;OG0040325
[OVER]	GO:0030049	muscle filament sliding	BIOLOGICAL_PROCESS	0.21841136256002644	1.2091815438267605E-4	5	118	83	22364	OG0002957;OG0089046;OG0073074;OG0015211;OG0032675
[OVER]	GO:0097226	sperm mitochondrial sheath	CELLULAR_COMPONENT	0.2456125430010371	1.4915741477795774E-4	2	3	86	22479	OG0045765;OG0060573
[OVER]	GO:0009259	ribonucleotide metabolic process	BIOLOGICAL_PROCESS	0.2509986070015826	1.6259019077025593E-4	12	873	76	21609	OG0002957;OG0039638;OG0090668;OG0046607;OG0040325;OG0060573;OG0008362;OG0027396;OG0003404;OG0037959;OG0087906;OG0046175
[OVER]	GO:0001222	transcription corepressor binding	MOLECULAR_FUNCTION	0.25348195401936474	1.7446126389996763E-4	5	128	83	22354	OG0040325;OG0037959;OG0026581;OG0090668;OG0039483
[OVER]	GO:0019693	ribose phosphate metabolic process	BIOLOGICAL_PROCESS	0.25534300749992656	1.860799244938736E-4	12	886	76	21596	OG0002957;OG0039638;OG0090668;OG0046607;OG0040325;OG0060573;OG0008362;OG0027396;OG0003404;OG0037959;OG0087906;OG0046175
[OVER]	GO:1905461	positive regulation of vascular associated smooth muscle cell apoptotic process	BIOLOGICAL_PROCESS	0.27561274408624553	2.1546885226234627E-4	3	27	85	22455	OG0015369;OG0039296;OG0039483
[OVER]	GO:0010477	response to sulfur dioxide	BIOLOGICAL_PROCESS	0.27561274408624553	2.2316821383501663E-4	2	4	86	22478	OG0090378;OG0005680
[OVER]	GO:0033275	actin-myosin filament sliding	BIOLOGICAL_PROCESS	0.2875391898524598	2.4446651768832617E-4	5	138	83	22344	OG0002957;OG0089046;OG0073074;OG0015211;OG0032675
[OVER]	GO:0003729	mRNA binding	MOLECULAR_FUNCTION	0.3001560570866195	2.673454759475963E-4	11	786	77	21696	OG0020662;OG0004829;OG0049727;OG0013214;OG0017388;OG0009773;OG0045765;OG0090963;OG0032280;OG0039366;OG0038296
[OVER]	GO:1903979	negative regulation of microglial cell activation	BIOLOGICAL_PROCESS	0.3202168429811374	3.1402015608301265E-4	3	31	85	22451	OG0040325;OG0020723;OG0039483
[OVER]	GO:0052652	cyclic purine nucleotide metabolic process	BIOLOGICAL_PROCESS	0.3202168429811374	3.1440069510177453E-4	5	146	83	22336	OG0040325;OG0003404;OG0037959;OG0087906;OG0090668
[OVER]	GO:0009187	cyclic nucleotide metabolic process	BIOLOGICAL_PROCESS	0.3202168429811374	3.2410611637766944E-4	5	147	83	22335	OG0040325;OG0003404;OG0037959;OG0087906;OG0090668
[OVER]	GO:0005689	U12-type spliceosomal complex	CELLULAR_COMPONENT	0.3253692833164548	3.4249398243837347E-4	3	32	85	22450	OG0020662;OG0022713;OG0039366
[OVER]	GO:0006805	xenobiotic metabolic process	BIOLOGICAL_PROCESS	0.34756445034692246	3.7992875139137276E-4	6	237	82	22245	OG0090378;OG0040325;OG0005680;OG0037959;OG0090668;OG0084712
[OVER]	GO:0009144	purine nucleoside triphosphate metabolic process	BIOLOGICAL_PROCESS	0.3945116582479163	4.47219693560391E-4	7	344	81	22138	OG0002957;OG0039638;OG0046607;OG0060573;OG0008362;OG0027396;OG0046175
[OVER]	GO:0150079	negative regulation of neuroinflammatory response	BIOLOGICAL_PROCESS	0.402765526375467	4.7288260181734985E-4	3	36	85	22446	OG0040325;OG0020723;OG0039483
[OVER]	GO:0006603	phosphocreatine metabolic process	BIOLOGICAL_PROCESS	0.442362863258656	6.62737705242813E-4	2	8	86	22474	OG0027396;OG0039638
[OVER]	GO:0006599	phosphagen metabolic process	BIOLOGICAL_PROCESS	0.442362863258656	6.62737705242813E-4	2	8	86	22474	OG0027396;OG0039638
[OVER]	GO:1905459	regulation of vascular associated smooth muscle cell apoptotic process	BIOLOGICAL_PROCESS	0.442362863258656	5.890228179374254E-4	3	39	85	22443	OG0015369;OG0039296;OG0039483
[OVER]	GO:1905288	vascular associated smooth muscle cell apoptotic process	BIOLOGICAL_PROCESS	0.442362863258656	5.890228179374254E-4	3	39	85	22443	OG0015369;OG0039296;OG0039483
[OVER]	GO:0072539	T-helper 17 cell differentiation	BIOLOGICAL_PROCESS	0.442362863258656	5.452979192647889E-4	4	92	84	22390	OG0040325;OG0037959;OG0090668;OG0046175
[OVER]	GO:0006163	purine nucleotide metabolic process	BIOLOGICAL_PROCESS	0.442362863258656	6.805582511671631E-4	12	1025	76	21457	OG0002957;OG0039638;OG0090668;OG0046607;OG0040325;OG0060573;OG0008362;OG0027396;OG0003404;OG0037959;OG0087906;OG0046175
[OVER]	GO:0042396	phosphagen biosynthetic process	BIOLOGICAL_PROCESS	0.442362863258656	6.62737705242813E-4	2	8	86	22474	OG0027396;OG0039638
[OVER]	GO:0046314	phosphocreatine biosynthetic process	BIOLOGICAL_PROCESS	0.442362863258656	6.62737705242813E-4	2	8	86	22474	OG0027396;OG0039638
[OVER]	GO:0007553	regulation of ecdysteroid metabolic process	BIOLOGICAL_PROCESS	0.442362863258656	6.62737705242813E-4	2	8	86	22474	OG0040325;OG0039483
[OVER]	GO:0097159	organic cyclic compound binding	MOLECULAR_FUNCTION	0.4696567927598259	7.452086135321432E-4	49	8623	39	13859	OG0056376;OG0039638;OG0031476;OG0032280;OG0003520;OG0003404;OG0087906;OG0049727;OG0001804;OG0070364;OG0015211;OG0045765;OG0089787;OG0008362;OG0027396;OG0026581;OG0046175;OG0085265;OG0013312;OG0009773;OG0090963;OG0046607;OG0039366;OG0036694;OG0004803;OG0039483;OG0004829;OG0046345;OG0001759;OG0017388;OG0015369;OG0049696;OG0060573;OG0005680;OG0090378;OG0001249;OG0024868;OG0039296;OG0002957;OG0020662;OG0048577;OG0037959;OG0013214;OG0090668;OG0040325;OG0007579;OG0038296;OG0022713;OG0003656
[OVER]	GO:0009141	nucleoside triphosphate metabolic process	BIOLOGICAL_PROCESS	0.4696567927598259	7.605778020402039E-4	7	377	81	22105	OG0002957;OG0039638;OG0046607;OG0060573;OG0008362;OG0027396;OG0046175
[OVER]	GO:0018990	ecdysis, chitin-based cuticle	BIOLOGICAL_PROCESS	0.4739063156764225	8.079596443346662E-4	2	9	86	22473	OG0040325;OG0039483
[OVER]	GO:0008502	melatonin receptor activity	MOLECULAR_FUNCTION	0.4739063156764225	8.079596443346662E-4	2	9	86	22473	OG0037959;OG0090668
