Tags	GO ID	GO Name	GO Category	FDR	P-Value	Nr Test	Nr Reference	Non Annot Test	Non Annot Reference	TestSet Sequences
[OVER]	GO:0003735	structural constituent of ribosome	MOLECULAR_FUNCTION	2.8900200014584688E-8	1.1700485835864246E-12	22	132	447	21969	OG0040040;OG0026835;OG0024889;OG0025975;OG0022106;OG0026866;OG0074314;OG0014595;OG0073535;OG0027993;OG0057339;OG0054489;OG0089704;OG0087835;OG0054369;OG0085949;OG0059195;OG0056196;OG0091597;OG0038561;OG0057078;OG0022736
[OVER]	GO:0044391	ribosomal subunit	CELLULAR_COMPONENT	2.0557834815032096E-7	1.6646020093143398E-11	23	170	446	21931	OG0040040;OG0026835;OG0024889;OG0025975;OG0022106;OG0026866;OG0074314;OG0014595;OG0073535;OG0027993;OG0088558;OG0057339;OG0054489;OG0089704;OG0087835;OG0054369;OG0085949;OG0059195;OG0056196;OG0091597;OG0038561;OG0057078;OG0022736
[OVER]	GO:0015934	large ribosomal subunit	CELLULAR_COMPONENT	3.113542217755486E-7	3.7816302239945175E-11	18	99	451	22002	OG0040040;OG0024889;OG0025975;OG0022106;OG0026866;OG0014595;OG0073535;OG0027993;OG0088558;OG0057339;OG0054489;OG0089704;OG0087835;OG0054369;OG0085949;OG0059195;OG0057078;OG0022736
[OVER]	GO:0022625	cytosolic large ribosomal subunit	CELLULAR_COMPONENT	3.5990672649292186E-7	5.828449012031123E-11	13	41	456	22060	OG0040040;OG0024889;OG0022106;OG0026866;OG0014595;OG0073535;OG0027993;OG0057339;OG0054489;OG0089704;OG0054369;OG0059195;OG0057078
[OVER]	GO:0098798	mitochondrial protein-containing complex	CELLULAR_COMPONENT	1.6699083146433761E-6	3.3803812037315307E-10	28	301	441	21800	OG0072335;OG0074314;OG0070579;OG0022296;OG0087996;OG0021738;OG0085949;OG0059162;OG0056196;OG0070400;OG0040195;OG0025975;OG0022265;OG0070744;OG0047863;OG0049881;OG0084273;OG0030302;OG0058542;OG0039627;OG0008682;OG0060478;OG0087835;OG0072272;OG0072392;OG0067748;OG0071265;OG0022736
[OVER]	GO:0006614	SRP-dependent cotranslational protein targeting to membrane	BIOLOGICAL_PROCESS	3.1747572121744585E-5	9.63637027415428E-9	11	42	458	22059	OG0026835;OG0024889;OG0026866;OG0014819;OG0014595;OG0054489;OG0089704;OG0073535;OG0054369;OG0059195;OG0057078
[OVER]	GO:0002181	cytoplasmic translation	BIOLOGICAL_PROCESS	3.1747572121744585E-5	8.802805075071567E-9	22	221	447	21880	OG0040040;OG0026835;OG0024889;OG0022106;OG0027901;OG0026866;OG0014595;OG0073535;OG0027993;OG0014249;OG0037309;OG0068494;OG0085304;OG0057339;OG0054235;OG0054489;OG0089704;OG0054369;OG0059195;OG0091597;OG0038561;OG0057078
[OVER]	GO:0005840	ribosome	CELLULAR_COMPONENT	3.1747572121744585E-5	1.0282614452386911E-8	25	287	444	21814	OG0040040;OG0026835;OG0074314;OG0014595;OG0088558;OG0089704;OG0085949;OG0056196;OG0006915;OG0038561;OG0024889;OG0025975;OG0022106;OG0026866;OG0073535;OG0027993;OG0084398;OG0057339;OG0054489;OG0087835;OG0054369;OG0059195;OG0091597;OG0057078;OG0022736
[OVER]	GO:0005740	mitochondrial envelope	CELLULAR_COMPONENT	4.020858515594901E-5	1.4650901473827575E-8	63	1371	406	20730	OG0038182;OG0072335;OG0074314;OG0069680;OG0087996;OG0084486;OG0012989;OG0059369;OG0066923;OG0030980;OG0090711;OG0001100;OG0021738;OG0045946;OG0059162;OG0039792;OG0037373;OG0070400;OG0040195;OG0025975;OG0041088;OG0022265;OG0015210;OG0020362;OG0047863;OG0070566;OG0008280;OG0084375;OG0058542;OG0008682;OG0060378;OG0087835;OG0072272;OG0021528;OG0074179;OG0072392;OG0091730;OG0071265;OG0022736;OG0068576;OG0070579;OG0022296;OG0031926;OG0070819;OG0085751;OG0086200;OG0084413;OG0054732;OG0011681;OG0090533;OG0085949;OG0029979;OG0056196;OG0070744;OG0084273;OG0017612;OG0088479;OG0089646;OG0039627;OG0085951;OG0021902;OG0073146;OG0060517
[OVER]	GO:0006415	translational termination	BIOLOGICAL_PROCESS	4.392807377441894E-5	1.7784645252801188E-8	17	134	452	21967	OG0040040;OG0026835;OG0025975;OG0022106;OG0026866;OG0074314;OG0014595;OG0054489;OG0089704;OG0087835;OG0054369;OG0085949;OG0056196;OG0091597;OG0038561;OG0057078;OG0022736
