Tags	GO ID	GO Name	GO Category	FDR	P-Value	Nr Test	Nr Reference	Non Annot Test	Non Annot Reference	TestSet Sequences
[OVER]	GO:0003735	structural constituent of ribosome	MOLECULAR_FUNCTION	2.8900200014584688E-8	1.1700485835864246E-12	22	132	447	21969	OG0040040;OG0026835;OG0024889;OG0025975;OG0022106;OG0026866;OG0074314;OG0014595;OG0073535;OG0027993;OG0057339;OG0054489;OG0089704;OG0087835;OG0054369;OG0085949;OG0059195;OG0056196;OG0091597;OG0038561;OG0057078;OG0022736
[OVER]	GO:0022625	cytosolic large ribosomal subunit	CELLULAR_COMPONENT	3.5990672649292186E-7	5.828449012031123E-11	13	41	456	22060	OG0040040;OG0024889;OG0022106;OG0026866;OG0014595;OG0073535;OG0027993;OG0057339;OG0054489;OG0089704;OG0054369;OG0059195;OG0057078
[OVER]	GO:0006614	SRP-dependent cotranslational protein targeting to membrane	BIOLOGICAL_PROCESS	3.1747572121744585E-5	9.63637027415428E-9	11	42	458	22059	OG0026835;OG0024889;OG0026866;OG0014819;OG0014595;OG0054489;OG0089704;OG0073535;OG0054369;OG0059195;OG0057078
[OVER]	GO:0002181	cytoplasmic translation	BIOLOGICAL_PROCESS	3.1747572121744585E-5	8.802805075071567E-9	22	221	447	21880	OG0040040;OG0026835;OG0024889;OG0022106;OG0027901;OG0026866;OG0014595;OG0073535;OG0027993;OG0014249;OG0037309;OG0068494;OG0085304;OG0057339;OG0054235;OG0054489;OG0089704;OG0054369;OG0059195;OG0091597;OG0038561;OG0057078
[OVER]	GO:0006415	translational termination	BIOLOGICAL_PROCESS	4.392807377441894E-5	1.7784645252801188E-8	17	134	452	21967	OG0040040;OG0026835;OG0025975;OG0022106;OG0026866;OG0074314;OG0014595;OG0054489;OG0089704;OG0087835;OG0054369;OG0085949;OG0056196;OG0091597;OG0038561;OG0057078;OG0022736
[OVER]	GO:0098800	inner mitochondrial membrane protein complex	CELLULAR_COMPONENT	4.869379901455916E-5	2.168549753684821E-8	17	136	452	21965	OG0070400;OG0040195;OG0072335;OG0022265;OG0070579;OG0070744;OG0047863;OG0022296;OG0087996;OG0058542;OG0039627;OG0008682;OG0021738;OG0072272;OG0072392;OG0059162;OG0071265
[OVER]	GO:0000184	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	BIOLOGICAL_PROCESS	7.653004455982661E-5	5.430956749822517E-8	14	94	455	22007	OG0026835;OG0024889;OG0014595;OG0073535;OG0005281;OG0007573;OG0010276;OG0060378;OG0054489;OG0089704;OG0054369;OG0091138;OG0059195;OG0057078
[OVER]	GO:1902895	positive regulation of miRNA transcription	BIOLOGICAL_PROCESS	7.653004455982661E-5	5.1786115751693756E-8	18	164	451	21937	OG0047525;OG0069027;OG0030953;OG0014741;OG0083480;OG0088088;OG0017704;OG0085246;OG0008510;OG0033303;OG0086787;OG0007248;OG0031400;OG0083315;OG0033355;OG0090961;OG0040359;OG0020999
[OVER]	GO:0035976	transcription factor AP-1 complex	CELLULAR_COMPONENT	8.44385245290221E-5	6.495271117617085E-8	7	12	462	22089	OG0069027;OG0007248;OG0083315;OG0033355;OG0090961;OG0083480;OG0085246
[OVER]	GO:0048932	myelination of posterior lateral line nerve axons	BIOLOGICAL_PROCESS	2.7409972591708147E-4	3.32914646862852E-7	6	9	463	22092	OG0047525;OG0033303;OG0086787;OG0088088;OG0017704;OG0040999
