Orth_id	Uni_id	Gene_des
OG0000007	sp|Q9Y3S1|WNK2_HUMAN	Serine/threonine-protein kinase WNK2
OG0000012	sp|P18729|ZG57_XENLA	Gastrula zinc finger protein XlCGF57.1 (Fragment)
OG0000019	sp|P03360|POL_AVIRE	Gag-Pol polyprotein (Fragment)
OG0000020	sp|O60284|ST18_HUMAN	Suppression of tumorigenicity 18 protein
OG0000023	sp|O95613|PCNT_HUMAN	Pericentrin
OG0000024	sp|Q96RE9|ZN300_HUMAN	Zinc finger protein 300
OG0000025	sp|Q9R095|SPEF2_RAT	Sperm flagellar protein 2
OG0000028	sp|P30414|NKTR_HUMAN	NK-tumor recognition protein
OG0000030	sp|Q6NXA4|ILF3_DANRE	Interleukin enhancer-binding factor 3 homolog
OG0000032	sp|Q14151|SAFB2_HUMAN	Scaffold attachment factor B2
OG0000034	sp|Q6NVJ5|DI2BA_DANRE	Disco-interacting protein 2 homolog B-A
OG0000038	sp|Q03468|ERCC6_HUMAN	DNA excision repair protein ERCC-6
OG0000046	sp|Q8NF91|SYNE1_HUMAN	Nesprin-1
OG0000047	sp|Q12789|TF3C1_HUMAN	General transcription factor 3C polypeptide 1
OG0000054	sp|Q8C008|DZAN1_MOUSE	Double zinc ribbon and ankyrin repeat-containing protein 1
OG0000057	sp|Q9Y2B5|VP9D1_HUMAN	VPS9 domain-containing protein 1
OG0000058	sp|Q96NL6|SCLT1_HUMAN	Sodium channel and clathrin linker 1
OG0000062	sp|Q8WVS4|WDR60_HUMAN	WD repeat-containing protein 60
OG0000067	sp|O43295|SRGP3_HUMAN	SLIT-ROBO Rho GTPase-activating protein 3
OG0000068	sp|Q6NRC9|LRCC1_XENLA	Leucine-rich repeat and coiled-coil domain-containing protein 1
OG0000069	sp|Q9Y4F9|RIPR2_HUMAN	Rho family-interacting cell polarization regulator 2
OG0000071	sp|P83510|TNIK_MOUSE	Traf2 and NCK-interacting protein kinase
OG0000075	sp|Q8QFV0|KCNT1_CHICK	Potassium channel subfamily T member 1
OG0000076	sp|Q8NDM7|CFA43_HUMAN	Cilia- and flagella-associated protein 43
OG0000077	sp|O60293|ZC3H1_HUMAN	Zinc finger C3H1 domain-containing protein
OG0000078	sp|Q8WP33|CCD30_MACFA	Coiled-coil domain-containing protein 30
OG0000084	sp|A2VCZ5|MD13L_DANRE	Mediator of RNA polymerase II transcription subunit 13-like
OG0000085	sp|P85001|CE290_DANRE	Centrosomal protein of 290 kDa
OG0000087	sp|Q08DK9|PWP3A_BOVIN	PWWP domain-containing DNA repair factor 3A
